Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_50_step,explored_90_step,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,harvested_50_step,harvested_90_step,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,percentage_knowledge_harvested,size,step_limit,steps,total_initial_knowledge,use_distance,weighted_50_step,weighted_90_step
400.0,0,9.73157894736842,0.10675714066526024,0.063355143929634,0.9387537310117785,0,0.1,5,42,150,0.99,0.9910327110666768,"{'seed': 0, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,94,294,0.0,436.45,44.32014210228557,20,2,0.29756616976164085,20,400,400,60.79271018540436,0,44,110
400.0,0,10.294736842105262,0.10016853672833342,0.04134766985260001,0.5668679210354927,0,0.1,5,41,159,1.0,1.0000000000000009,"{'seed': 1, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,107,275,0.0,434.65,50.77697396046507,20,2,0.3409174460368851,20,400,400,60.792710185400715,0,57,160
400.0,0,10.152631578947368,0.10116167019464034,0.0985497484919928,0.7327591857856783,0,0.1,5,41,148,0.995,0.9998580982244601,"{'seed': 2, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,83,261,0.0,436.95,49.80370316348625,20,2,0.33438288975027225,20,400,400,60.7927101854015,0,37,101
400.0,0,10.252631578947367,0.09574731658798794,0.07330105811614368,0.6246682439183265,0,0.1,5,41,187,0.99,0.9983493376839481,"{'seed': 3, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,111,263,0.0,437.9,55.10976969800574,20,2,0.37000790854045484,20,400,400,60.79271018540164,0,31,152
400.0,0,9.926315789473687,0.10831796882585262,0.10570107940217865,0.9385426922522311,0,0.1,5,44,156,0.995,0.9948869481905716,"{'seed': 4, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,133,320,0.0,435.3,42.79053050489696,20,2,0.2872963321061842,20,400,400,60.792710185401035,0,51,165
400.0,0,9.752631578947367,0.10855228910347917,0.0575791765792517,0.6081063933271537,0,0.1,5,49,209,0.99,0.9942169711237325,"{'seed': 5, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,119,327,0.0,439.85,42.5608966328341,20,2,0.28575456647735287,20,400,400,60.792710185405596,0,56,201
400.0,0,10.236842105263161,0.11017450468241836,0.1611036571750113,0.5573826671344945,0,0.1,5,40,173,0.9925,0.9892302618171995,"{'seed': 6, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,145,372,0.0,439.35,40.971125365460715,20,2,0.2750808157990138,20,400,400,60.79271018540027,0,48,219
400.0,0,9.91578947368421,0.10677697754287277,0.12254552421000113,0.6058765732469882,0,0.1,5,42,140,1.0,1.0000000000000007,"{'seed': 7, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,117,325,0.0,435.75,44.300701962203945,20,2,0.29743564833848063,20,400,400,60.7927101853956,0,49,141
400.0,0,10.268421052631581,0.10271707322331596,0.09768070552339245,0.8098227005264441,0,0.1,5,36,211,0.99,0.9951597579302132,"{'seed': 8, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,128,295,0.0,437.05,48.27940819538099,20,2,0.32414874803206833,20,400,400,60.79271018540024,0,35,209
400.0,0,10.336842105263157,0.10684388152529728,0.10637436908788374,0.610202244791616,0,0.1,5,38,162,0.9975,0.9954606355068893,"{'seed': 9, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,137,335,0.0,434.85,44.23513605945459,20,2,0.296995437779015,20,400,400,60.7927101854065,0,44,165
400.0,0,10.284210526315789,0.1028649182944284,0.06390121357075004,0.7020255704145402,0,0.1,5,47,159,0.995,0.997609498442757,"{'seed': 10, 'std': 5, 'number_gaussians': 6, 'initCellFunc': 'multipleGaussians'}",0.02,100,290,0.0,437.35,48.13452002570129,20,2,0.32317596645576235,20,400,400,60.79271018540454,0,35,144
