Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_50_step,explored_90_step,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,harvested_50_step,harvested_90_step,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,percentage_knowledge_harvested,size,step_limit,steps,total_initial_knowledge,use_distance,weighted_50_step,weighted_90_step
400.0,0,9.73157894736842,0.4097310841206212,0.39796655268092374,2.257976730431365,0,0.1,5,42,150,0.99,0.9879565221085916,"{'prop_random': 5, 'seed': 0, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,120,293,0.0,436.45,195.96189375282987,20,2,0.3279705989520331,20,400,400,243.87688007797513,0,41,156
400.0,0,10.294736842105262,0.43612656512060227,0.5051131040695805,3.229018370233629,0,0.1,5,41,159,1.0,1.0000000000000002,"{'prop_random': 5, 'seed': 1, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,104,318,0.0,434.65,184.00688428677768,20,2,0.3009545280236346,20,400,400,249.55547677753793,0,39,149
400.0,0,10.152631578947368,0.4411909155283476,0.37528086827358875,3.0931826070350583,0,0.1,5,41,148,0.995,0.994909457508578,"{'prop_random': 5, 'seed': 2, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,118,332,0.0,436.95,182.96133141336867,20,2,0.2973393116589489,20,400,400,251.1544606657752,0,56,156
400.0,0,10.252631578947367,0.4108810576295093,0.38775739448930435,2.112310286743709,0,0.1,5,41,187,0.99,0.9930364536234842,"{'prop_random': 5, 'seed': 3, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,109,284,0.0,437.9,201.09596621129202,20,2,0.33307301768870373,20,400,400,246.43240926049418,0,31,157
400.0,0,9.926315789473687,0.43581102870291877,0.45357000204378917,3.1922316595454236,0,0.1,5,44,156,0.995,0.9994490836632034,"{'prop_random': 5, 'seed': 4, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,112,313,0.0,435.3,189.04300340627663,20,2,0.3068193509099325,20,400,400,251.48482103475007,0,44,156
400.0,0,9.752631578947367,0.4484047789176448,0.4443916506902458,2.4267851463591064,0,0.1,5,49,209,0.99,0.990887282853226,"{'prop_random': 5, 'seed': 5, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,108,323,0.0,439.85,186.7755312425128,20,2,0.29826235722221556,20,400,400,255.5968222782877,0,45,178
400.0,0,10.236842105263161,0.4334567349545791,0.45702019740008754,2.1274374972167096,0,0.1,5,40,173,0.9925,0.9914066074982045,"{'prop_random': 5, 'seed': 6, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,115,292,0.0,439.35,211.03247787243868,20,2,0.3319059670053065,20,400,400,259.51839923588835,0,47,159
400.0,0,9.91578947368421,0.4385216317734752,0.43387710099769833,2.790984751620027,0,0.1,5,42,140,1.0,0.9999999999999993,"{'prop_random': 5, 'seed': 7, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,104,298,0.0,435.75,198.70132343982687,20,2,0.31617555233095346,20,400,400,256.511233705238,0,36,136
400.0,0,10.268421052631581,0.4193149091142746,0.32381873720224774,1.8830626810253588,0,0.1,5,36,211,0.99,0.9964144299113767,"{'prop_random': 5, 'seed': 8, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,96,279,0.0,437.05,201.87734455742535,20,2,0.32943110743138443,20,400,400,250.1248797915978,0,34,194
400.0,0,10.336842105263157,0.4191026558588888,0.44022423146406986,2.524154154950609,0,0.1,5,38,162,0.9975,0.9980882407307528,"{'prop_random': 5, 'seed': 9, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,101,305,0.0,434.85,192.54245795609592,20,2,0.31916832058866407,20,400,400,246.22982069298268,0,31,157
400.0,0,10.284210526315789,0.42791713799509673,0.4370986574338006,3.0954079742268035,0,0.1,5,47,159,0.995,0.992180504066239,"{'prop_random': 5, 'seed': 10, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,112,303,0.0,437.35,187.17913842384857,20,2,0.30860252597007254,20,400,400,247.5665035343037,0,43,157
400.0,0,9.942105263157895,0.41756679200856245,0.45715329229778545,2.0869102414705565,0,0.1,5,46,175,0.99,0.9888548097185311,"{'prop_random': 5, 'seed': 11, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,92,295,0.0,435.95,195.559621138794,20,2,0.3233592594614522,20,400,400,246.84697032946332,0,35,164
400.0,0,10.163157894736843,0.40990846986180957,0.517632080103436,2.3389884707326334,0,0.1,5,43,172,0.9925,0.9942737259305588,"{'prop_random': 5, 'seed': 12, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,129,296,0.0,437.2,198.075644109227,20,2,0.3302438910101125,20,400,400,244.81058962195962,0,60,194
400.0,0,10.178947368421051,0.45182714776667987,0.3478594196057385,2.591765233049116,0,0.1,5,42,222,0.9875,0.9881122658816425,"{'prop_random': 5, 'seed': 13, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,117,318,0.0,438.85,191.49380939798368,20,2,0.30190527326245487,20,400,400,258.8915976364613,0,42,220
400.0,0,9.926315789473685,0.4275355274665833,0.3438141002103954,3.095592505656018,0,0.1,5,45,187,0.995,0.9985975978086097,"{'prop_random': 5, 'seed': 14, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,106,307,0.0,436.05,189.66389179151807,20,2,0.31161471153678233,20,400,400,248.42804437092656,0,38,179
400.0,0,10.21578947368421,0.43494525895800396,0.34545563774146953,2.4279004046844457,0,0.1,5,50,141,0.995,0.992241082989187,"{'prop_random': 5, 'seed': 15, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,116,317,0.0,438.2,185.23032398387198,20,2,0.3029229580130463,20,400,400,249.58231745416987,0,50,146
400.0,0,9.526315789473683,0.433657998778029,0.44034869259363835,2.631104750869598,0,0.1,5,38,177,0.9975,0.9964564276836341,"{'prop_random': 5, 'seed': 16, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,93,271,0.0,436.45,213.6373417235944,20,2,0.33452853383139824,20,400,400,260.66211450043374,0,34,171
400.0,0,9.578947368421053,0.430507006088413,0.3686006783152566,2.2738421158650772,0,0.1,5,38,169,0.9875,0.985777158294627,"{'prop_random': 5, 'seed': 17, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,111,298,0.0,440.4,190.5688056890849,20,2,0.31115018279131323,20,400,400,249.98598843090997,0,39,172
400.0,0,10.22105263157895,0.41929727688606433,0.4476133648335196,2.597288888572,0,0.1,5,42,130,0.99,0.9946604912784505,"{'prop_random': 5, 'seed': 18, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,115,313,0.0,435.7,188.60612010130694,20,2,0.3145965470150237,20,400,400,244.7010005916939,0,39,122
400.0,0,9.731578947368423,0.4499730277164079,0.3536496357394883,2.3375076638739722,0,0.1,5,40,172,0.995,0.9938439230580303,"{'prop_random': 5, 'seed': 19, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,121,306,0.0,435.4,201.79128229088354,20,2,0.31394262219320446,20,400,400,262.35299977671974,0,51,172
400.0,0,9.894736842105265,0.46170619713034755,0.28911205345988544,2.756601205808734,0,0.1,5,38,147,0.99,0.9863485326993938,"{'prop_random': 5, 'seed': 20, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,114,347,0.0,435.25,174.50042361091113,20,2,0.27832229404306896,20,400,400,255.90714155047027,0,40,151
400.0,0,10.18421052631579,0.46344647142632267,0.4550959232976915,2.85328499894243,0,0.1,5,43,150,0.9825,0.9772391159092626,"{'prop_random': 5, 'seed': 21, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,107,342,0.0,439.0,180.95290207939436,20,2,0.28490667352957555,20,400,400,259.2369159498738,0,46,153
400.0,0,9.878947368421054,0.4319734184078936,0.42341606984233016,2.4556455500868517,0,0.1,5,44,159,1.0,1.0000000000000004,"{'prop_random': 5, 'seed': 22, 'std': 5, 'initCellFunc': 'noisyGaussian'}",0.02,133,310,0.0,433.8,205.51004035041842,20,2,0.3268060814621343,20,400,400,256.67101648577716,0,55,206
