Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_50_step,explored_90_step,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,harvested_50_step,harvested_90_step,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,percentage_knowledge_harvested,size,step_limit,steps,totalInitialKnowledge,total_initial_knowledge,use_distance,weighted_50_step,weighted_90_step
400.0,0,9.73157894736842,0.34857610167831427,0.38509621851543024,0.8943374170587606,0,0.1,5,42,150,0.99,0.9947535094887413,"{'seed': 0, 'initCellFunc': 'randominit'}",0.02,114,309,0.0,436.45,156.37294886087972,20,2,0.31401607484204475,20,400,400,203.25613408392962,203.25613408392962,0,43,150
400.0,0,10.294736842105262,0.3448488487976528,0.35930498023174956,0.8235985988160222,0,0.1,5,41,159,1.0,0.9999999999999997,"{'seed': 1, 'initCellFunc': 'randominit'}",0.02,114,297,0.0,434.65,159.2706517775502,20,2,0.3203206697569455,20,400,400,202.9479688160205,202.9479688160205,0,43,160
400.0,0,10.152631578947368,0.3470758507528073,0.24445713837094507,0.9361611574754269,0,0.1,5,41,148,0.995,0.9928656915950055,"{'seed': 2, 'initCellFunc': 'randominit'}",0.02,117,308,0.0,436.95,152.58844362478345,20,2,0.30968416853299363,20,400,400,201.11133769899394,201.11133769899394,0,45,150
400.0,0,10.252631578947367,0.34997110941029175,0.30084538846779985,0.9389180120155929,0,0.1,5,41,187,0.99,0.986465498669861,"{'seed': 3, 'initCellFunc': 'randominit'}",0.02,108,308,0.0,437.9,154.31832198931255,20,2,0.3103185648833566,20,400,400,202.975513963836,202.975513963836,0,40,197
400.0,0,9.926315789473687,0.33402540780148754,0.40281842031122084,0.8491254530368734,0,0.1,5,44,156,0.995,0.9962082939641331,"{'seed': 4, 'initCellFunc': 'randominit'}",0.02,110,297,0.0,435.3,150.95103565986707,20,2,0.3156017530517085,20,400,400,195.2228307368673,195.2228307368673,0,45,129
400.0,0,9.752631578947367,0.3363855309130149,0.34929353422499815,0.9227073454327324,0,0.1,5,49,209,0.99,0.9952935886991207,"{'seed': 5, 'initCellFunc': 'randominit'}",0.02,108,311,0.0,439.85,147.1289586534154,20,2,0.30858439275097765,20,400,400,194.6068485502736,194.6068485502736,0,49,201
400.0,0,10.236842105263161,0.3392305508278906,0.24057176554660936,0.8625814405742058,0,0.1,5,40,173,0.9925,0.9926281464888254,"{'seed': 6, 'initCellFunc': 'randominit'}",0.02,113,310,0.0,439.35,148.35953335541694,20,2,0.30856456849018477,20,400,400,196.247131904796,196.247131904796,0,41,174
400.0,0,9.91578947368421,0.3263118220666172,0.34473402637235995,0.8643252086027345,0,0.1,5,42,140,1.0,1.0000000000000002,"{'seed': 7, 'initCellFunc': 'randominit'}",0.02,110,303,0.0,435.75,149.63344253535695,20,2,0.3187630529628857,20,400,400,191.59960333087423,191.59960333087423,0,43,136
400.0,0,10.268421052631581,0.3521923976224857,0.3031464850438039,0.9659034911592225,0,0.1,5,36,211,0.99,0.9937980824053089,"{'seed': 8, 'initCellFunc': 'randominit'}",0.02,114,320,0.0,437.05,151.3796005486833,20,2,0.30487616962301406,20,400,400,202.66455110968155,202.66455110968155,0,38,209
400.0,0,10.336842105263157,0.3423939240508305,0.31473373110612524,0.9362042258126055,0,0.1,5,38,162,0.9975,0.9955287316536326,"{'seed': 9, 'initCellFunc': 'randominit'}",0.02,110,298,0.0,434.85,157.6379143298066,20,2,0.3196330926129296,20,400,400,201.29957546923296,201.29957546923296,0,40,161
