Step,agent_generation,avg_distance_between_agents,avg_knowledge_on_grid,avgcurrentAgentKnowledge,best_knowledge,constant_population,epsilon,error_imbalance,explored_percentage,explored_weighted_by_initial_knowledge,generation_params,harvest,initial_curiosity,mean_age,mean_prestige,number_agents,number_connection,size,step_limit,steps,stored_percentage,totalInitialKnowledge,total_initial_knowledge,use_distance
400.0,0,9.73157894736842,0.35239171462339836,0.33983546044415747,0.8688107844250953,0,0.1,5,0.99,0.9931072678078933,"{'seed': 0, 'initCellFunc': 'randominit'}",0.02,0.0,436.45,160.49719423079497,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 150]]), ('explored_weighted_by_initial_knowledge', [[0.5, 42], [0.9, 155]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",206.4657447190717,206.4657447190717,0
400.0,0,10.294736842105262,0.3448713453936346,0.326867336965279,0.9047168589331103,0,0.1,5,1.0,1.0000000000000002,"{'seed': 1, 'initCellFunc': 'randominit'}",0.02,0.0,434.65,158.17100867437418,20,2,20,400,400,"[('explored_percentage', [[0.5, 41], [0.9, 159]]), ('explored_weighted_by_initial_knowledge', [[0.5, 39], [0.9, 149]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",202.50813353474945,202.50813353474945,0
400.0,0,10.152631578947368,0.3478028156121933,0.34244234869461243,0.9590222189615664,0,0.1,5,0.995,0.9946639847199388,"{'seed': 2, 'initCellFunc': 'randominit'}",0.02,0.0,436.95,159.6586296376534,20,2,20,400,400,"[('explored_percentage', [[0.5, 41], [0.9, 148]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 152]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",204.2879138520827,204.2879138520827,0
400.0,0,10.252631578947367,0.3393157088196961,0.21346236902634036,0.9791264261518047,0,0.1,5,0.99,0.9835387235461677,"{'seed': 3, 'initCellFunc': 'randominit'}",0.02,0.0,437.9,146.78111905357483,20,2,20,400,400,"[('explored_percentage', [[0.5, 41], [0.9, 187]]), ('explored_weighted_by_initial_knowledge', [[0.5, 48], [0.9, 189]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",195.63694436607238,195.63694436607238,0
400.0,0,9.926315789473687,0.3327858822191164,0.3211651866477531,0.7984384227817649,0,0.1,5,0.995,0.9955265414691051,"{'seed': 4, 'initCellFunc': 'randominit'}",0.02,0.0,435.3,149.85662144992338,20,2,20,400,400,"[('explored_percentage', [[0.5, 44], [0.9, 156]]), ('explored_weighted_by_initial_knowledge', [[0.5, 45], [0.9, 156]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",194.28032082639066,194.28032082639066,0
400.0,0,9.752631578947367,0.3374786669415466,0.3060366730327624,0.9427540841294814,0,0.1,5,0.99,0.9865113340279597,"{'seed': 5, 'initCellFunc': 'randominit'}",0.02,0.0,439.85,151.39933822441827,20,2,20,400,400,"[('explored_percentage', [[0.5, 49], [0.9, 209]]), ('explored_weighted_by_initial_knowledge', [[0.5, 49], [0.9, 218]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",196.78711503148324,196.78711503148324,0
400.0,0,10.236842105263161,0.3319315218518997,0.18131060310974165,0.9018753270691956,0,0.1,5,0.9925,0.9913190928325176,"{'seed': 6, 'initCellFunc': 'randominit'}",0.02,0.0,439.35,147.70496270178435,20,2,20,400,400,"[('explored_percentage', [[0.5, 40], [0.9, 173]]), ('explored_weighted_by_initial_knowledge', [[0.5, 42], [0.9, 178]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",193.0603486190394,193.0603486190394,0
400.0,0,9.91578947368421,0.32493995141866283,0.2836182372243428,0.9019934098380986,0,0.1,5,1.0,0.9999999999999999,"{'seed': 7, 'initCellFunc': 'randominit'}",0.02,0.0,435.75,145.91959656995942,20,2,20,400,400,"[('explored_percentage', [[0.5, 42], [0.9, 140]]), ('explored_weighted_by_initial_knowledge', [[0.5, 44], [0.9, 144]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",189.53499957561192,189.53499957561192,0
400.0,0,10.268421052631581,0.34897089307115287,0.2688811679429286,0.95459151587112,0,0.1,5,0.99,0.9882299854293974,"{'seed': 8, 'initCellFunc': 'randominit'}",0.02,0.0,437.05,155.66477138361617,20,2,20,400,400,"[('explored_percentage', [[0.5, 36], [0.9, 211]]), ('explored_weighted_by_initial_knowledge', [[0.5, 35], [0.9, 211]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",203.1249986095289,203.1249986095289,0
400.0,0,10.336842105263157,0.318790314838801,0.354190265763146,0.8868135694827397,0,0.1,5,0.9975,0.9980132725172809,"{'seed': 9, 'initCellFunc': 'randominit'}",0.02,0.0,434.85,150.4723532457159,20,2,20,400,400,"[('explored_percentage', [[0.5, 38], [0.9, 162]]), ('explored_weighted_by_initial_knowledge', [[0.5, 40], [0.9, 161]]), ('percentage_knowledge_harvested', [[0.5, -1], [0.9, -1]])]",188.93341297458798,188.93341297458798,0
