,Step,mean_age,mean_prestige,mean_vanishing_prestige,mean_visibility_prestige,avgcurrentAgentKnowledge,explored_percentage,explored_weighted_by_initial_knowledge,total_initial_knowledge,avg_knowledge_on_grid,best_knowledge,avg_distance_between_agents,percentage_knowledge_harvested
0,0,34.65,0.0,0.0,0.0,0.0024024166096307835,0.0,0.0,1,0.0024999999999999996,0.005207674097825921,10.126315789473683,2.220446049250313e-16
1,1,35.65,0.0032018407786360845,0.0032018407786360845,0.0032018407786360845,0.003237117312242181,0.025,0.03305125771471391,1,0.0024967328155320032,0.005207674097825921,10.142105263157896,0.0013068737871987368
2,2,36.65,0.00647567962461589,0.003273838845979807,0.00647567962461589,0.0032772341768517303,0.0425,0.05539983715648628,1,0.0024933921636483506,0.005207674097825921,10.147368421052631,0.002643134540659786
3,3,37.65,0.009985471872878722,0.0035097922482628307,0.009985471872878722,0.0034589396985299213,0.0625,0.0845981787001178,1,0.0024898107429868577,0.005207674097825921,10.252631578947367,0.004075702805256931
4,4,38.65,0.013448403347398146,0.003462931474519426,0.013448403347398146,0.0034666480433994604,0.0675,0.0904321446148475,1,0.0024862771394414296,0.005207674097825921,10.231578947368423,0.005489144223428166
5,5,39.65,0.016649427369110424,0.003201024021712277,0.016649427369110424,0.003111642676765689,0.08,0.10145701294506329,1,0.002483010788398866,0.005207674097825921,10.152631578947368,0.006795684640453548
6,6,40.65,0.019977745143218567,0.0033283177741081408,0.019977745143218567,0.00333096760670512,0.095,0.12072055996628248,1,0.0024796145457722254,0.005207674097825921,10.242105263157892,0.00815418169110993
7,7,41.65,0.023739464801373365,0.003761719658154803,0.023739464801373365,0.003764756357792629,0.1125,0.15038998035175588,1,0.0024757760563251284,0.005207674097825921,10.26315789473684,0.009689577469948585
8,8,42.65,0.027315189765746494,0.0035757249643731275,0.027315189765746494,0.0035799472437615673,0.1125,0.15038998035175588,1,0.0024721273573818908,0.005207674097825921,10.257894736842104,0.011149057047243671
9,9,43.65,0.03104264422907601,0.0037274544633295235,0.03104264422907601,0.003735586120119529,0.1125,0.15038998035175588,1,0.0024683238324193094,0.005207674097825921,10.273684210526316,0.012670467032276256
10,10,44.65,0.034557004305305825,0.0035143600762298096,0.034557004305305825,0.0035256558994193896,0.1175,0.15594701767413555,1,0.0024647377507088708,0.005207674097825921,10.3,0.01410489971645168
11,11,45.65,0.03795822187797514,0.00340121757266931,0.03795822187797514,0.003404165146093048,0.13,0.17216023853798507,1,0.002461267120532678,0.005207674097825921,10.273684210526316,0.015493151786928783
12,12,46.65,0.041380742738963236,0.0034225208609880943,0.041380742738963236,0.003426539874995123,0.1375,0.18045814485448952,1,0.0024577747523071795,0.005207674097825921,10.221052631578948,0.01689009907712813
13,13,47.65,0.044932829746065904,0.003552087007102675,0.044932829746065904,0.0035376016231020726,0.1425,0.1899666026150113,1,0.0024541501737285034,0.005207674097825921,10.189473684210526,0.018339930508598612
14,14,48.65,0.048298275041787374,0.0033654452957214663,0.048298275041787374,0.0033099915370854833,0.15,0.19762268822010426,1,0.0024507160458757267,0.005207674097825921,10.189473684210526,0.019713581649709377
15,15,49.65,0.05185755075534597,0.0035592757135585926,0.05185755075534597,0.0035618200804733284,0.1675,0.22742809036390327,1,0.0024470841318822993,0.005207674097825921,10.2,0.02116634724708022
16,16,50.65,0.055497006537751005,0.00363945578240504,0.055497006537751005,0.0036435353738836712,0.1725,0.2351655305372452,1,0.0024433704014920903,0.005207674097825921,10.184210526315791,0.022651839403163954
17,17,51.65,0.05892307930168541,0.0034260727639343963,0.05892307930168541,0.0033949253629718228,0.18,0.24471682788563698,1,0.00243987440887583,0.005207674097825921,10.263157894736842,0.02405023644966786
18,18,52.65,0.062388850136728194,0.003465770835042785,0.062388850136728194,0.003468948379846436,0.185,0.25406301452118846,1,0.002436337908023746,0.005207674097825921,10.305263157894736,0.0254648367905016
19,19,53.65,0.06580632504213266,0.0034174749054044586,0.06580632504213266,0.003419965064104233,0.1875,0.2576288185504068,1,0.002432850688732517,0.005207674097825921,10.26842105263158,0.026859724506993254
20,20,54.65,0.06935028286483703,0.003543957822704392,0.06935028286483703,0.0035465744839823592,0.1925,0.2665687414471762,1,0.0024292344052399615,0.005207674097825921,10.305263157894737,0.02830623790401532
21,21,55.65,0.07268302717787867,0.003332744313041619,0.07268302717787867,0.0033369755621345427,0.1975,0.2702429058906619,1,0.0024258336457368577,0.005207674097825921,10.24736842105263,0.029666541705256955
22,22,56.65,0.07588746570071944,0.0032044385228407746,0.07588746570071944,0.003206603628998571,0.21,0.2835198203656918,1,0.0024225638105094694,0.005207674097825921,10.215789473684211,0.030974475796212264
23,23,57.65,0.07895360843798242,0.003066142737263001,0.07895360843798242,0.003090550823345791,0.2175,0.2882115409385871,1,0.0024194350934306297,0.005207674097825921,10.2,0.03222596262774813
24,24,58.65,0.08232952040321775,0.0033759119652353085,0.08232952040321775,0.0033719068977976115,0.23,0.30149773964616733,1,0.002415990285302838,0.005207674097825921,10.278947368421052,0.03360388587886476
